data name,"Completed 
vConv-based",Original Basset,"Single 
vConv-based"
SAEC,0.9513,0.9486,0.9501
SKMC,0.931,0.9272,0.9276
SK-N-MC,0.9049,0.8933,0.9062
SK-N-SH_RA,0.9444,0.9352,0.945
Th2,0.9133,0.915,0.9136
WERI-Rb-1,0.9312,0.9221,0.9317
WI-38,0.9338,0.9326,0.9288
WI-38_4OHTAM,0.9079,0.906,0.9053
A549,0.9074,0.9047,0.9057
GM12878,0.8916,0.8865,0.8888
H1-hESC,0.922,0.9191,0.9219
HeLa-S3,0.9063,0.9009,0.9051
HepG2,0.9203,0.9148,0.9181
HMEC,0.8703,0.8672,0.8688
HSMM,0.9058,0.8984,0.9038
HSMMtube,0.9039,0.8954,0.902
HUVEC,0.9147,0.9137,0.9119
K562,0.8849,0.8799,0.884
LNCaP,0.8713,0.8599,0.8731
MCF-7,0.8969,0.8874,0.8965
NHEK,0.9196,0.916,0.9185
Th1,0.8387,0.8353,0.8371
LNG.IMR90 ,0.9328,0.9331,0.928
ESC.H9 ,0.9221,0.9161,0.9202
ESC.H1 ,0.9393,0.9337,0.9389
IPSC.DF.6.9 ,0.9303,0.9262,0.9314
IPSC.DF.19.11 ,0.934,0.9286,0.9342
ESDR.H1.NEUR.PROG ,0.9356,0.933,0.9348
ESDR.H1.BMP4.MESO ,0.9147,0.9083,0.914
ESDR.H1.BMP4.TROP ,0.9143,0.908,0.9148
ESDR.H1.MSC ,0.9311,0.9306,0.9283
BLD.CD3.PPC ,0.9231,0.9203,0.9214
BLD.CD3.CPC ,0.9324,0.9283,0.9319
BLD.CD14.PC ,0.9382,0.9338,0.937
BLD.MOB.CD34.PC.M ,0.9424,0.9376,0.9417
BLD.MOB.CD34.PC.F ,0.9361,0.9312,0.9376
BLD.CD19.PPC ,0.9198,0.918,0.9197
BLD.CD56.PC ,0.9338,0.9314,0.9324
SKIN.PEN.FRSK.FIB.01 ,0.9271,0.9237,0.9238
SKIN.PEN.FRSK.FIB.02 ,0.9298,0.9274,0.9269
SKIN.PEN.FRSK.MEL.01 ,0.915,0.8987,0.9126
SKIN.PEN.FRSK.KER.02 ,0.9442,0.9399,0.9433
BRST.HMEC.35 ,0.9414,0.9386,0.9389
THYM.FET ,0.9206,0.9165,0.9178
BRN.FET.F ,0.9271,0.9175,0.9261
BRN.FET.M ,0.9309,0.9199,0.9294
MUS.PSOAS ,0.9097,0.9054,0.9085
MUS.TRNK.FET ,0.9138,0.9057,0.9129
MUS.LEG.FET ,0.9102,0.903,0.9085
HRT.FET ,0.8825,0.875,0.8827
GI.STMC.FET ,0.9136,0.9071,0.9106
GI.S.INT.FET ,0.9097,0.8954,0.9087
GI.L.INT.FET ,0.9043,0.8879,0.903
GI.S.INT ,0.9163,0.8986,0.9175
GI.STMC.GAST ,0.9148,0.9094,0.9144
KID.FET ,0.9176,0.9095,0.9164
LNG.FET ,0.9006,0.8934,0.8991
OVRY ,0.8989,0.8961,0.8969
ADRL.GLND.FET ,0.8925,0.8791,0.8918
PLCNT.FET ,0.9033,0.8917,0.9037
PANC ,0.9149,0.9119,0.9129
