TF_CellLine_Antibody_Lab,DeepBind*,DeepBind,MEME-SUM,MEME-M1
POLR2A_GM18526_Pol2_Stanford,0.79168,0.66710,0.65358,0.62840
POLR2A_GM18951_Pol2_Stanford,0.81830,0.69935,0.62048,0.64183
POLR2A_GM19099_Pol2_Stanford,0.79347,0.70743,0.66156,0.63900
POLR2A_GM19193_Pol2_Stanford,0.80033,0.71976,0.64607,0.65760
POLR2A_Gliobla_Pol2_UT-A,0.80272,0.68022,0.63276,0.61384
POLR2A_H1-hESC_Pol2-4H8_HudsonAlpha,0.76966,0.69094,0.65850,0.61927
POLR2A_H1-hESC_Pol2_HudsonAlpha,0.76960,0.68039,0.69268,0.65975
POLR2A_H1-hESC_Pol2_UT-A,0.83790,0.74015,0.60725,0.60635
POLR2A_HCT-116_Pol2-4H8_HudsonAlpha,0.77636,0.66632,0.59582,0.50400
POLR2A_HCT-116_Pol2_USC,0.75972,0.62067,0.59997,0.60467
POLR2A_HUVEC_Pol2-4H8_HudsonAlpha,0.80974,0.67346,0.65007,0.59280
POLR2A_HUVEC_Pol2_HudsonAlpha,0.80301,0.71844,0.61928,0.57152
POLR2A_HUVEC_Pol2_Stanford,0.75883,0.64022,0.61356,0.61339
POLR2A_HUVEC_Pol2_UT-A,0.80848,0.68201,0.65636,0.59869
POLR2A_HeLa-S3_Pol2(phosphoS2)_Stanford,0.74299,0.65775,0.56246,0.51990
POLR2A_HeLa-S3_Pol2_HudsonAlpha,0.80757,0.70178,0.61894,0.62027
POLR2A_HeLa-S3_Pol2_UT-A,0.79723,0.49972,0.66546,0.60038
POLR2A_HeLa-S3_Pol2_Yale,0.80038,0.64468,0.58088,0.56609
POLR2A_HepG2_Pol2(phosphoS2)_Stanford,0.65923,0.61041,0.63226,0.56716
POLR2A_HepG2_Pol2-4H8_HudsonAlpha,0.79532,0.62849,0.57010,0.59036
POLR2A_HepG2_Pol2_HudsonAlpha,0.74415,0.67371,0.63731,0.50642
POLR2A_HepG2_Pol2_Stanford,0.77032,0.51896,0.62108,0.61580
POLR2A_HepG2_Pol2_UT-A,0.78216,0.61046,0.70170,0.64796
POLR2A_IMR90_Pol2_Stanford,0.76335,0.67383,0.60182,0.49223
POLR2A_K562_Pol2(b)_Broad,0.80028,0.72506,0.67924,0.60219
POLR2A_K562_Pol2(phosphoS2)_Stanford,0.68826,0.63382,0.55006,0.50980
POLR2A_K562_Pol2-4H8_HudsonAlpha,0.87094,0.80404,0.71203,0.68526
POLR2A_K562_Pol2_HudsonAlpha,0.83863,0.73878,0.68810,0.62091
POLR2A_K562_Pol2_Stanford,0.81200,0.70032,0.63914,0.57599
POLR2A_K562_Pol2_UT-A,0.81987,0.70796,0.69281,0.64858
POLR2A_K562_Pol2_Yale,0.81587,0.67198,0.75796,0.71168
POLR2A_MCF-7_Pol2_UT-A,0.81816,0.72292,0.64805,0.58404
POLR2A_PANC-1_Pol2-4H8_HudsonAlpha,0.77563,0.66290,0.65488,0.57186
POLR2A_PBDE_Pol2_USC,0.78878,0.64736,0.64280,0.58230
POLR2A_ProgFib_Pol2_UT-A,0.81550,0.69127,0.68994,0.67148
POLR2A_Raji_Pol2_USC,0.75135,0.65873,0.63500,0.56802
POLR2A_SK-N-MC_Pol2-4H8_HudsonAlpha,0.89167,0.79731,0.78198,0.71585
POLR2A_SK-N-SH_Pol2-4H8_HudsonAlpha,0.77112,0.68367,0.60833,0.59020
POLR2A_U87_Pol2-4H8_HudsonAlpha,0.76932,0.66435,0.60228,0.55414
POU2F2_GM12878_POU2F2_HudsonAlpha,0.93261,0.87755,0.86086,0.82270
POU2F2_GM12891_POU2F2_HudsonAlpha,0.93575,0.89737,0.88608,0.86548
POU5F1_H1-hESC_POU5F1_(SC-9081)_HudsonAlpha,0.97697,0.95884,0.91060,0.91886
PRDM1_HeLa-S3_PRDM1_(9115)_Stanford,0.98151,0.97187,0.93712,0.96088
RAD21_A549_Rad21_Stanford,0.99876,0.99669,0.97841,0.97923
RAD21_GM12878_Rad21_HudsonAlpha,0.99766,0.99745,0.97616,0.97738
RAD21_GM12878_Rad21_Stanford,0.99812,0.99640,0.98095,0.98095
RAD21_H1-hESC_Rad21_HudsonAlpha,0.99670,0.99683,0.98019,0.98159
RAD21_H1-hESC_Rad21_Stanford,0.99628,0.99828,0.97426,0.97939
RAD21_HeLa-S3_Rad21_Stanford,0.99544,0.99603,0.95886,0.97710
RAD21_HepG2_Rad21_HudsonAlpha,0.99593,0.99676,0.96518,0.97157
RAD21_HepG2_Rad21_Stanford,0.99661,0.99683,0.97806,0.97772
RAD21_IMR90_Rad21_Stanford,0.99708,0.99828,0.98176,0.98176
RAD21_K562_Rad21_HudsonAlpha,0.99815,0.99559,0.95987,0.96305
RAD21_SK-N-SH-(Retinoic-Acid)_Rad21_HudsonAlpha,0.99960,0.99771,0.96216,0.97959
RBBP5_H1-hESC_RBBP5_(A300-109A)_Broad,0.73001,0.66732,0.53881,0.52712
RBBP5_K562_RBBP5_(A300-109A)_Broad,0.78893,0.67828,0.62127,0.60752
RCOR1_HeLa-S3_COREST_(sc-30189)_Stanford,0.86933,0.70617,0.73042,0.62394
RCOR1_HepG2_COREST_(sc-30189)_Stanford,0.85578,0.72311,0.69849,0.57453
RCOR1_K562_COREST_(ab24166)_Stanford,0.87960,0.84222,0.82742,0.84342
RCOR1_K562_COREST_(sc-30189)_Stanford,0.92403,0.87761,0.83206,0.78784
REST_GM12878_NRSF_HudsonAlpha,0.99934,0.99921,0.99468,0.93764
REST_H1-hESC_NRSF_HudsonAlpha,0.99987,0.99956,0.98856,0.94244
REST_HeLa-S3_NRSF_HudsonAlpha,0.99957,0.99936,0.99114,0.94419
REST_HepG2_NRSF_HudsonAlpha,0.99821,0.99912,0.98983,0.95514
REST_K562_NRSF_HudsonAlpha,0.99866,0.99968,0.99553,0.93270
REST_PANC-1_NRSF_HudsonAlpha,0.99857,0.99821,0.99040,0.93814
REST_PFSK-1_NRSF_HudsonAlpha,0.99909,0.99889,0.99479,0.91356
REST_SK-N-SH_NRSF_HudsonAlpha,0.97884,0.98702,0.96990,0.93290
REST_U87_NRSF_HudsonAlpha,0.99564,0.99809,0.98886,0.92222
RFX5_GM12878_RFX5_(200-401-194)_Stanford,0.97281,0.96788,0.92112,0.79158
RFX5_H1-hESC_RFX5_(200-401-194)_Stanford,0.91385,0.90017,0.88482,0.87768
RFX5_HeLa-S3_RFX5_(200-401-194)_Stanford,0.95454,0.94756,0.89190,0.85278
RFX5_HepG2_RFX5_(200-401-194)_Stanford,0.93688,0.94939,0.94680,0.89803
RFX5_K562_RFX5_(200-401-194)_Stanford,0.88234,0.84720,0.81161,0.73430
RPC155_HeLa-S3_RPC155_Harvard,0.94541,0.92740,0.83500,0.66880
RUNX3_GM12878_RUNX3_(SC-101553)_HudsonAlpha,0.97420,0.93657,0.92966,0.92143
RXRA_GM12878_RXRA_HudsonAlpha,0.72348,0.71496,0.64227,0.56725
RXRA_HepG2_RXRA_HudsonAlpha,0.93904,0.85840,0.85786,0.82942
SAP30_K562_SAP30_(39731)_Broad,0.67138,0.60625,0.59861,0.53670
SETDB1_K562_SETDB1_USC,0.86471,0.82050,0.62760,0.64138
SETDB1_U2OS_SETDB1_USC,0.92783,0.90926,0.75104,0.56708
SIN3AK20_H1-hESC_Sin3Ak-20_HudsonAlpha,0.92793,0.82137,0.65463,0.57510
SIN3AK20_HepG2_Sin3Ak-20_HudsonAlpha,0.81543,0.73799,0.84219,0.62228
SIN3AK20_K562_Sin3Ak-20_HudsonAlpha,0.79662,0.78297,0.83345,0.64383
SIN3AK20_PFSK-1_Sin3Ak-20_HudsonAlpha,0.83157,0.76936,0.72848,0.53608
SIN3AK20_SK-N-SH_Sin3Ak-20_HudsonAlpha,0.80875,0.66542,0.74966,0.56271
SIN3A_GM12878_SIN3A_(NB600-1263)_Stanford,0.77911,0.72163,0.72526,0.55966
SIN3A_H1-hESC_SIN3A_(NB600-1263)_Stanford,0.89545,0.74180,0.71294,0.53069
SIRT6_K562_SIRT6_Harvard,0.87737,0.86329,0.83694,0.73022
SIX5_GM12878_SIX5_HudsonAlpha,0.98271,0.95841,0.95328,0.92253
SIX5_H1-hESC_SIX5_HudsonAlpha,0.99094,0.96386,0.95002,0.96002
SIX5_K562_SIX5_HudsonAlpha,0.98543,0.93398,0.94731,0.93245
SMARCB1_HeLa-S3_Ini1_Stanford,0.75634,0.63875,0.62439,0.59142
SMC3_GM12878_SMC3_(ab9263)_Stanford,0.99843,0.99683,0.97486,0.98159
SMC3_HeLa-S3_SMC3_(ab9263)_Stanford,0.99545,0.99629,0.96722,0.97620
SMC3_HepG2_SMC3_(ab9263)_Stanford,0.99655,0.99347,0.97378,0.97672
SMC3_K562_SMC3_(ab9263)_Stanford,0.99823,0.99686,0.96396,0.98268
SP1_GM12878_SP1_HudsonAlpha,0.90003,0.89811,0.91744,0.88278
SP1_H1-hESC_SP1_HudsonAlpha,0.90977,0.89873,0.84702,0.76814
SP1_HepG2_SP1_HudsonAlpha,0.89921,0.75533,0.83032,0.67108
SP1_K562_SP1_HudsonAlpha,0.91156,0.85385,0.86338,0.78566
SP2_H1-hESC_SP2_(SC-643)_HudsonAlpha,0.94551,0.95161,0.92609,0.79003
SP2_K562_SP2_(SC-643)_HudsonAlpha,0.91621,0.90956,0.91829,0.75218
SP4_H1-hESC_SP4_(V-20)_HudsonAlpha,0.80808,0.68655,0.74324,0.64248
SPI1_GM12878_PU_1_HudsonAlpha,0.99930,0.99767,0.93666,0.99611
SPI1_GM12891_PU_1_HudsonAlpha,0.99815,0.99801,0.95876,0.99101
SPI1_K562_PU_1_HudsonAlpha,0.99827,0.99428,0.95075,0.98937
SRF_H1-hESC_SRF_HudsonAlpha,0.95988,0.93890,0.90770,0.81534
SRF_HepG2_SRF_HudsonAlpha,0.95411,0.91249,0.90864,0.85479
SRF_K562_SRF_HudsonAlpha,0.83251,0.88313,0.84931,0.67236
STAT3_HeLa-S3_STAT3_Stanford,0.97501,0.92539,0.90031,0.85747
STAT5A_GM12878_STAT5A_(SC-74442)_HudsonAlpha,0.86750,0.76643,0.76451,0.53679
STAT5A_K562_STAT5A_(SC-74442)_HudsonAlpha,0.96881,0.95845,0.92726,0.67741
SUZ12_H1-hESC_SUZ12_USC,0.65780,0.66115,0.51610,0.52490
TAF1_GM12878_TAF1_HudsonAlpha,0.87716,0.77943,0.80741,0.68386
TAF1_GM12891_TAF1_HudsonAlpha,0.84926,0.73888,0.77037,0.69553
TAF1_GM12892_TAF1_HudsonAlpha,0.86068,0.76735,0.75718,0.70711
TAF1_H1-hESC_TAF1_HudsonAlpha,0.84912,0.77547,0.75751,0.67049
TAF1_HeLa-S3_TAF1_HudsonAlpha,0.84456,0.71203,0.77301,0.64325
TAF1_HepG2_TAF1_HudsonAlpha,0.87670,0.75426,0.67316,0.65970
TAF1_K562_TAF1_HudsonAlpha,0.85592,0.80614,0.80176,0.68392
TAF1_PFSK-1_TAF1_HudsonAlpha,0.83754,0.78212,0.76543,0.64690
TAF1_SK-N-SH_TAF1_HudsonAlpha,0.86144,0.74691,0.79206,0.65957
TAF7_H1-hESC_TAF7_(SC-101167)_HudsonAlpha,0.79511,0.67982,0.65489,0.59727
TAF7_K562_TAF7_(SC-101167)_HudsonAlpha,0.70282,0.63769,0.62606,0.57231
TAL1_K562_TAL1_(SC-12984)_Stanford,0.98762,0.97456,0.96044,0.96440
TBL1XR1_GM12878_TBLR1_(ab24550)_Stanford,0.89857,0.79143,0.76949,0.69380
TBL1XR1_K562_TBLR1_(NB600-270)_Stanford,0.93669,0.88521,0.74361,0.67719
TBL1XR1_K562_TBLR1_(ab24550)_Stanford,0.83526,0.83008,0.85302,0.78722
TBP_GM12878_TBP_Stanford,0.76704,0.78880,0.65584,0.57777
TBP_H1-hESC_TBP_Stanford,0.73378,0.80947,0.74194,0.65169
TBP_HeLa-S3_TBP_Stanford,0.76027,0.76686,0.72498,0.57250
TBP_HepG2_TBP_Stanford,0.78974,0.81478,0.75253,0.60082
TBP_K562_TBP_Stanford,0.79809,0.71588,0.72500,0.60780
TCF12_GM12878_TCF12_HudsonAlpha,0.93553,0.87923,0.88975,0.88183
TCF12_H1-hESC_TCF12_HudsonAlpha,0.93035,0.90006,0.88494,0.86284
TCF12_HepG2_TCF12_HudsonAlpha,0.86657,0.83516,0.72391,0.72795
TCF3_GM12878_TCF3_(SC-349)_HudsonAlpha,0.89812,0.83052,0.84858,0.83043
TCF7L2_HCT-116_TCF7L2_USC,0.95566,0.90004,0.88263,0.87545
TCF7L2_HEK293_TCF7L2_USC,0.87968,0.83318,0.85302,0.83287
TCF7L2_HeLa-S3_TCF7L2_C9B9_(2565)_USC,0.90857,0.91679,0.87465,0.87840
TCF7L2_MCF-7_TCF7L2_USC,0.89539,0.88188,0.85236,0.85928
TCF7L2_PANC-1_TCF7L2_USC,0.85278,0.83475,0.83362,0.80851
TEAD4_H1-hESC_TEAD4_(SC-101184)_HudsonAlpha,0.98956,0.98170,0.96941,0.96600
TEAD4_HepG2_TEAD4_(SC-101184)_HudsonAlpha,0.95197,0.89295,0.90606,0.88746
TEAD4_K562_TEAD4_(SC-101184)_HudsonAlpha,0.96716,0.93851,0.83361,0.93008
TFAP2A_HeLa-S3_AP-2alpha_USC,0.97343,0.94638,0.87227,0.92626
TFAP2C_HeLa-S3_AP-2gamma_USC,0.96706,0.92482,0.91032,0.90308
THAP1_K562_THAP1_(SC-98174)_HudsonAlpha,0.83479,0.81224,0.81379,0.63632
TRIM28_K562_TRIM28_(SC-81411)_HudsonAlpha,0.84043,0.86927,0.83231,0.82466
UBTF_K562_UBF_(sc-13125)_Stanford,0.76344,0.69075,0.58780,0.59041
UBTF_K562_UBTF_(SAB1404509)_Stanford,0.74046,0.73828,0.62902,0.57923
USF1_GM12878_USF-1_HudsonAlpha,0.98789,0.98842,0.98475,0.98354
USF1_H1-hESC_USF-1_HudsonAlpha,0.99852,0.99383,0.99565,0.99454
USF1_HepG2_USF-1_HudsonAlpha,0.99298,0.99457,0.99226,0.99324
USF1_K562_USF-1_HudsonAlpha,0.99311,0.98913,0.97696,0.98967
USF1_SK-N-SH-(Retinoic-Acid)_USF1_(SC-8983)_HudsonAlpha,0.99525,0.99046,0.97817,0.98735
USF2_GM12878_USF2_Stanford,0.99115,0.98154,0.97816,0.98527
USF2_H1-hESC_USF2_Stanford,0.99744,0.99437,0.98588,0.99326
USF2_HeLa-S3_USF2_Stanford,0.99604,0.98841,0.98743,0.98796
USF2_HepG2_USF2_Stanford,0.99467,0.99154,0.99378,0.99162
USF2_K562_USF2_Stanford,0.99153,0.99280,0.99113,0.98862
WRNIP1_GM12878_WHIP_Stanford,0.74653,0.60439,0.56527,0.48690
YY1_GM12878_YY1_(SC-281)_HudsonAlpha,0.97743,0.97980,0.91707,0.96307
YY1_GM12891_YY1_(SC-281)_HudsonAlpha,0.98370,0.98961,0.98403,0.98738
YY1_GM12892_YY1_HudsonAlpha,0.98058,0.99019,0.97654,0.97739
YY1_H1-hESC_YY1_(SC-281)_HudsonAlpha,0.98488,0.98685,0.96812,0.96821
YY1_HCT-116_YY1_(SC-281)_HudsonAlpha,0.97889,0.98241,0.96714,0.96961
YY1_HepG2_YY1_(SC-281)_HudsonAlpha,0.97619,0.97782,0.94173,0.95510
YY1_K562_YY1_(SC-281)_HudsonAlpha,0.98619,0.98685,0.95954,0.97442
YY1_K562_YY1_HudsonAlpha,0.98677,0.98733,0.97726,0.98653
YY1_NT2-D1_YY1_USC,0.98997,0.98682,0.94842,0.98252
YY1_SK-N-SH-(Retinoic-Acid)_YY1_(SC-281)_HudsonAlpha,0.98173,0.98407,0.93567,0.97439
ZBTB33_GM12878_ZBTB33_HudsonAlpha,0.92735,0.90013,0.87975,0.87044
ZBTB33_HCT-116_ZBTB33_HudsonAlpha,0.84846,0.79409,0.83508,0.77084
ZBTB33_HepG2_ZBTB33_HudsonAlpha,0.90435,0.90731,0.85139,0.80621
ZBTB33_K562_ZBTB33_HudsonAlpha,0.91227,0.87914,0.86902,0.86299
ZBTB7A_HepG2_ZBTB7A_(SC-34508)_HudsonAlpha,0.87414,0.80072,0.77424,0.74458
ZBTB7A_K562_ZBTB7A_(SC-34508)_HudsonAlpha,0.87616,0.81379,0.75900,0.73978
ZEB1_GM12878_ZEB1_(SC-25388)_HudsonAlpha,0.91269,0.88656,0.87471,0.85414
ZNF143_GM12878_Znf143_(16618-1-AP)_Stanford,0.97164,0.98193,0.94956,0.90520
ZNF143_H1-hESC_Znf143_(16618-1-AP)_Stanford,0.98237,0.98293,0.98211,0.95195
ZNF143_HeLa-S3_Znf143_(16618-1-AP)_Stanford,0.99150,0.99078,0.98331,0.96926
ZNF143_K562_Znf143_(16618-1-AP)_Stanford,0.97983,0.99039,0.98572,0.95406
ZNF217_MCF-7_ZNF217_USC,0.87329,0.70863,0.72666,0.66878
ZNF263_HEK293-T-REx_ZNF263_USC,0.94919,0.89794,0.86108,0.74860
ZNF263_K562_ZNF263_USC,0.89403,0.87904,0.82463,0.82975
ZNF274_K562_ZNF274_(M01)_USC,0.90856,0.81521,0.70399,0.70364
ZNF274_K562_ZNF274_USC,0.93479,0.92770,0.90175,0.88314
